%% LAL: 7.6.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALFrame: 3.0.5 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALSimulation: 6.0.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALInference: 4.1.7 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALPulsar: 7.0.1 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% argv[0]: '/home/damoncht/.conda/envs/ml/bin/lalpulsar_ComputeAntennaPattern'
%% argv[1]: '@L1config.txt'
%% columns:
%% Alpha   Delta        A_L1         B_L1         C_L1         D_L1
0.0242376  -0.5155750   0.22363210   0.18805942   0.00243589   0.04205019
1.1384428  -0.6449288   0.21051513   0.17741302  -0.00367548   0.03733461
1.3597342  0.8898188   0.19312544   0.18476707   0.00063220   0.03568282
3.4238765  -0.0888609   0.24974473   0.19038223   0.00140141   0.04754499
1.3605927  1.3272150   0.17625885   0.17912406   0.00146851   0.03157004
5.0400225  0.2744241   0.23399170   0.18302435   0.00783158   0.04276484
2.6923142  -0.2753345   0.23201919   0.18883528  -0.00356900   0.04380067
5.9981701  0.9291397   0.18066148   0.18028428   0.00038534   0.03257028
1.0028311  -0.1845524   0.24942720   0.18442738  -0.00451555   0.04598081
1.9862204  1.3482068   0.17750204   0.17671376  -0.00196944   0.03136317
4.3721930  -0.4642882   0.22808176   0.18717746   0.00253560   0.04268534
2.9582975  -0.3906238   0.22384311   0.18866743  -0.00050735   0.04223165
5.9069413  -0.2502553   0.24178241   0.19075523   0.00341439   0.04610960
3.6353799  0.1151829   0.25267288   0.18880388   0.00127339   0.04770400
3.5946791  0.7837843   0.20084055   0.18073998  -0.00227767   0.03629473
3.5946936  -0.1128659   0.25047681   0.18955088   0.00246303   0.04747203
0.8983732  0.6489523   0.21290600   0.18488224  -0.00177304   0.03935939
3.3161214  -0.9497041   0.18447705   0.18105297   0.00312204   0.03339037
0.4929305  -0.9059971   0.19155499   0.17844418   0.00225367   0.03417679
0.5905317  0.9342880   0.19120102   0.18014088  -0.00238229   0.03443744
3.6792300  -0.0619016   0.25270686   0.18912204   0.00259127   0.04778572
2.4093294  -0.4210083   0.21906285   0.18473063  -0.00539621   0.04043850
6.1928730  0.1203453   0.24452254   0.19109684   0.00100663   0.04672647
