%% LAL: 7.6.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALFrame: 3.0.5 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALSimulation: 6.0.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALInference: 4.1.7 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALPulsar: 7.0.1 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% argv[0]: '/home/damoncht/.conda/envs/ml/bin/lalpulsar_ComputeAntennaPattern'
%% argv[1]: '@L1config.txt'
%% columns:
%% Alpha   Delta       tGPS       a(t)         b(t)
5.2153535  0.1232930  1369402000   0.12076896  -0.32949373
5.2153535  0.1232930  1369416400   0.63231277   0.28179133
5.2153535  0.1232930  1369430800   0.44708797   0.53266084
5.2153535  0.1232930  1369445200   0.24381012   0.39389449
5.2153535  0.1232930  1369459600   0.77206421  -0.21061811
5.2153535  0.1232930  1369474000   0.45769933  -0.67855102
5.2153535  0.1232930  1369488400   0.12495986  -0.31883693
5.2153535  0.1232930  1369502800   0.63815695   0.28921634
5.2153535  0.1232930  1369517200   0.43805027   0.53369015
5.2153535  0.1232930  1369531600   0.24966557   0.38755372
5.2153535  0.1232930  1369546000   0.77669400  -0.22231361
5.2153535  0.1232930  1369560400   0.44609538  -0.67950559
5.2153535  0.1232930  1369574800   0.12947729  -0.30811802
5.2153535  0.1232930  1369589200   0.64370990   0.29652184
5.2153535  0.1232930  1369603600   0.42901587   0.53462547
5.2153535  0.1232930  1369618000   0.25580812   0.38106611
5.2153535  0.1232930  1369632400   0.78099453  -0.23397520
5.2153535  0.1232930  1369646800   0.43449816  -0.68019581
5.2153535  0.1232930  1369661200   0.13431501  -0.29734188
5.2153535  0.1232930  1369675600   0.64897048   0.30370963
5.2153535  0.1232930  1369690000   0.41999662   0.53546560
5.2153535  0.1232930  1369704400   0.26223212   0.37442920
5.2153535  0.1232930  1369718800   0.78496003  -0.24559686
5.2153535  0.1232930  1369733200   0.42291981  -0.68062139
5.2153535  0.1232930  1369747600   0.13946652  -0.28651404
5.2153535  0.1232930  1369762000   0.65393329   0.31077972
5.2153535  0.1232930  1369776400   0.41100514   0.53621227
5.2153535  0.1232930  1369790800   0.26892993   0.36764479
5.2153535  0.1232930  1369805200   0.78857923  -0.25717235
5.2153535  0.1232930  1369819600   0.41137260  -0.68078041
5.2153535  0.1232930  1369834000   0.14492533  -0.27563900
5.2153535  0.1232930  1369848400   0.65859252   0.31773192
5.2153535  0.1232930  1369862800   0.40205356   0.53686506
5.2153535  0.1232930  1369877200   0.27589411   0.36071354
0.4580149  0.4044432  1368970000   0.83704793  -0.52934778
0.4580149  0.4044432  1368984400   0.02933219  -0.66498661
0.4580149  0.4044432  1368998800   0.12584031   0.14636382
0.4580149  0.4044432  1369013200   0.55696160   0.34719732
0.4580149  0.4044432  1369027600   0.18814310   0.38842857
0.4580149  0.4044432  1369042000   0.57089752   0.31152713
0.4580149  0.4044432  1369056400   0.82928944  -0.54269725
0.4580149  0.4044432  1369070800   0.01892826  -0.65490556
0.4580149  0.4044432  1369085200   0.13698846   0.15672278
0.4580149  0.4044432  1369099600   0.55502152   0.34591496
0.4580149  0.4044432  1369114000   0.18498977   0.39134124
0.4580149  0.4044432  1369128400   0.58311266   0.30252326
0.4580149  0.4044432  1369142800   0.82112426  -0.55579942
0.4580149  0.4044432  1369157200   0.00888312  -0.64450961
0.4580149  0.4044432  1369171600   0.14823259   0.16682854
0.4580149  0.4044432  1369186000   0.55275905   0.34462076
0.4580149  0.4044432  1369200400   0.18214670   0.39425308
0.4580149  0.4044432  1369214800   0.59528750   0.29322433
0.4580149  0.4044432  1369229200   0.81256115  -0.56864434
0.4580149  0.4044432  1369243600  -0.00079718  -0.63381219
0.4580149  0.4044432  1369258000   0.15955937   0.17667791
0.4580149  0.4044432  1369272400   0.55017543   0.34332013
0.4580149  0.4044432  1369286800   0.17962049   0.39715728
0.4580149  0.4044432  1369301200   0.60740781   0.28363314
0.4580149  0.4044432  1369315600   0.80360699  -0.58122259
0.4580149  0.4044432  1369330000  -0.01010400  -0.62282282
0.4580149  0.4044432  1369344400   0.17095435   0.18626878
0.4580149  0.4044432  1369358800   0.54727972   0.34202078
0.4580149  0.4044432  1369373200   0.17741862   0.40004504
0.4580149  0.4044432  1369387600   0.61945844   0.27375025
0.4580149  0.4044432  1369402000   0.79426974  -0.59352380
0.4580149  0.4044432  1369416400  -0.01902986  -0.61155045
0.4580149  0.4044432  1369430800   0.18240465   0.19559912
0.4580149  0.4044432  1369445200   0.54407918   0.34072959
0.4580149  0.4044432  1369459600   0.17554526   0.40291125
0.4580149  0.4044432  1369474000   0.63142431   0.26357919
0.4580149  0.4044432  1369488400   0.78455204  -0.60553455
0.4580149  0.4044432  1369502800  -0.02756661  -0.60000461
0.4580149  0.4044432  1369517200   0.19389576   0.20466584
0.4580149  0.4044432  1369531600   0.54058027   0.33945251
0.4580149  0.4044432  1369546000   0.17400561   0.40574867
0.4580149  0.4044432  1369560400   0.64329398   0.25312477
0.4580149  0.4044432  1369574800   0.77446687  -0.61724794
0.4580149  0.4044432  1369589200  -0.03570467  -0.58819044
0.4580149  0.4044432  1369603600   0.20541435   0.21346611
0.4580149  0.4044432  1369618000   0.53679007   0.33819622
0.4580149  0.4044432  1369632400   0.17280442   0.40855014
0.4580149  0.4044432  1369646800   0.65505332   0.24239115
0.4580149  0.4044432  1369661200   0.76402438  -0.62865639
0.4580149  0.4044432  1369675600  -0.04344019  -0.57612312
0.4580149  0.4044432  1369690000   0.21694571   0.22199687
0.4580149  0.4044432  1369704400   0.53271210   0.33696535
0.4580149  0.4044432  1369718800   0.17194620   0.41130817
0.4580149  0.4044432  1369733200   0.66668904   0.23138200
0.4580149  0.4044432  1369747600   0.75323439  -0.63975042
0.4580149  0.4044432  1369762000  -0.05076727  -0.56381238
0.4580149  0.4044432  1369776400   0.22847719   0.23025909
0.4580149  0.4044432  1369790800   0.52835661   0.33576655
0.4580149  0.4044432  1369805200   0.17143691   0.41401312
0.4580149  0.4044432  1369819600   0.67818546   0.22010101
0.4580149  0.4044432  1369834000   0.74210626  -0.65052187
0.4580149  0.4044432  1369848400  -0.05768007  -0.55126870
0.4580149  0.4044432  1369862800   0.23999478   0.23825124
0.4580149  0.4044432  1369877200   0.52373284   0.33460605
2.0222888  0.6941112  1368970000   0.12238838   0.44631201
2.0222888  0.6941112  1368984400   0.88557148   0.04862958
2.0222888  0.6941112  1368998800   0.35209888  -0.84302074
2.0222888  0.6941112  1369013200  -0.34789735  -0.13306338
2.0222888  0.6941112  1369027600   0.32949537   0.39383978
2.0222888  0.6941112  1369042000   0.26074228   0.09046902
2.0222888  0.6941112  1369056400   0.13157929   0.45174378
2.0222888  0.6941112  1369070800   0.89183629   0.03045080
2.0222888  0.6941112  1369085200   0.33267614  -0.84517407
2.0222888  0.6941112  1369099600  -0.34485584  -0.11491387
2.0222888  0.6941112  1369114000   0.33949482   0.39054728
2.0222888  0.6941112  1369128400   0.25159228   0.09066854
2.0222888  0.6941112  1369142800   0.14114384   0.45689654
2.0222888  0.6941112  1369157200   0.89760453   0.01207475
2.0222888  0.6941112  1369171600   0.31321025  -0.84673953
2.0222888  0.6941112  1369186000  -0.34130371  -0.09688035
2.0222888  0.6941112  1369200400   0.34916386   0.38695735
